Instance; Colors; Time (sec); Colors
myciel3.col; 4; 0; {1,3,11},{2,5,7,10},{4,8,9},{6}
myciel7.col; 8; 0.002; {3,4,11,23,47,95,191},{2,5,7,10,25,28,30,33,46,97,100,102,105,118,120,123,125,128,131,134,136,139,141,144,147,149,152,165,167,170,172,175,178,181,183,186,188,190},{1,12,14,16,22,48,58,59,61,63,69,94,96,106,107,109,111,117,142,143,153,154,156,158,159,161,163,164,166,176,177,179,182,184,187,189},{6,8,9,26,29,31,32,50,53,55,56,64,66,67,70,73,76,78,79,84,87,89,90,93,98,101,103,104,121,124,126,127,145,148,150,151,162,168,171,173,174,185},{13,15,27,34,36,38,41,43,45,49,51,60,62,72,74,77,81,83,85,88,92,99,108,110,122,129,133,138,140,146,155,157,169,180},{17,21,24,35,39,40,44,52,57,68,71,75,80,82,86,91,112,116,119,130,135},{18,19,20,42,54,65,113,114,115,137,160},{37,132}
school1.col; 37; 0.013; {13,22,104,105,138,162,168,188,194,229,236,241,309,314,315,316,361,363,370,371,372,373,374,375,383},{99,136,137,140,185,193,284,285,313,353,354,355,357,364,365,366,367,368,369,376,377,378,380},{6,40,66,91,96,109,124,152,183,195,230,234,250,261,305,326,329,351,360,379,384,385},{11,44,113,131,149,153,159,186,233,238,328,362,382},{2,12,19,53,100,115,117,119,121,141,142,155,176,187,197,237,331,359},{14,18,56,65,86,110,130,145,179,228,255,273,279},{3,21,39,54,112,125,158,171,198,231,240,306,381},{7,20,32,55,85,111,120,139,157,232,252,340},{23,37,64,127,144,178,182,191,201,235,253,265},{17,35,50,116,118,123,160,180,200,302,323,327,339,347},{16,30,62,107,114,128,151,154,170,276,282,320},{38,78,98,108,122,161,169,251,264,345},{34,126,143,175,210,222,246,272,278,301,318},{31,103,129,156,174,192,202,211,308},{5,24,45,61,97,213,239,254,275,277,281},{10,57,132,147,189,209,243,257,321,330,356},{94,133,148,165,190,242,247,338,344},{8,71,75,87,93,196,263,319,342},{25,43,60,83,164,249,259,268,288,297,343,346},{27,41,77,82,203,286,295,307,325},{36,46,74,79,92,184,274,280,311},{42,58,81,207,226,248,291,293,317,341},{68,72,84,101,208,269,290,324,333,336,352},{26,59,90,95,166,227,245,258,287,348},{29,47,52,88,106,172,199,223,266,292},{1,69,102,163,181,214,221,260,270,312,322},{9,33,63,89,177,256,283,298,332,335},{15,67,73,134,146,173,215,262,267,289,299,304,334,337},{4,49,51,70,76,135,271,310,358},{167,204,212,218,296,303},{48,80,244,294},{28,150,220,225},{206,217,219,224},{205,216},{350},{300},{349}
school1_nsh.col; 35; 0.009; {2,11,22,54,100,113,124,136,137,138,142,153,163,195,229,234,236,238,241,309,314,316},{14,86,91,96,104,117,155,168,186,193,233,237,284,285,313,315,326,351},{3,19,40,44,75,80,105,108,121,147,161,176,188,194,228,231,243,245,328,348},{9,13,18,52,65,102,110,145,179,185,235,242,255,279,347},{77,84,94,119,141,152,154,162,170,187,250,329},{6,21,31,39,51,57,99,109,125,150,156,171,240,306},{7,20,53,118,123,139,183,191,232,252,261,340},{4,30,33,116,127,140,151,165,180,239,253,263,343},{35,73,106,111,120,146,167,178,256,323,327,331,339},{37,78,83,115,133,144,169,201,211,217,251,318},{16,49,50,59,112,122,246,287,321,342,345},{34,56,87,114,126,143,200,202,210,254,272,278,332},{12,25,38,45,128,192,198,209,259},{1,103,129,174,182,189,196,197,247,311},{17,24,43,61,135,148,258,275,301,338},{42,81,149,157,181,190,205,257,322,330,344},{47,97,132,230,249,277,281,297,308,319},{36,71,76,85,88,92,158,160,203,223},{8,74,79,93,224,274,280,305,325},{62,66,82,101,213,219,295,307,324},{46,70,89,95,266,286,320},{28,72,90,98,207,227,260,291,312,341},{10,55,199,264,276,299,310,334,337},{5,26,48,68,107,134,159,214,221,269,304},{23,164,166,184,206,212,222,265,273,296},{27,172,177,208,226,244,290,294,303},{32,175,215,218,225,262,282},{41,63,204,283,298,317,335,350},{15,29,131,173,248,268,271,292},{60,69,302,333,336,352},{130,216,270,293},{220,288,346,349},{58,67,300},{64},{267,289}
anna.col; 11; 0.001; {1,2,3,5,14,17,18,22,24,30,38,48,52,56,58,60,61,65,66,71,77,84,86,98,110,115,119,120,122,125,129,133,134,137},{4,9,10,12,15,23,25,27,29,31,34,35,36,39,41,42,43,44,47,53,54,55,62,63,68,69,73,75,78,82,87,88,96,97,102,105,107,109,111,112,113,114,117,121,124,126,128,131,132},{7,8,11,13,16,21,28,40,49,50,57,59,67,80,89,90,95,123,127,130},{32,37,64,74,79,93,100,103,104,106,118},{19,26,45,46,51,72,92,94,135},{6,70,76,138},{33,101,136},{20,83,85,116},{99,108},{81},{91}
miles1000.col; 43; 0.002; {5,17,27,34,56,86},{3,36,51,76,106,112,119},{22,49,72,87,88,95},{48,59,61,120,121,128},{9,12,60,62},{4,8,23,31,35},{16,21,91,103},{26,33,68},{32,92,104},{18,28,98},{37,43,84,124},{1,40,52,63},{15,42,74,107},{11,54,80,123},{29,81,110,111},{55,65,77,85,126},{50,57,66},{13,47,99},{14,41,64},{93,108},{96,114},{102,115},{71,82,100},{45,117},{75,90},{83,105,122},{79,127},{2,109},{67,78,113},{7,70},{69,89,97},{10,44,101},{38,73},{30,39},{19,24},{20,125},{6,94},{116},{53},{58},{118},{25},{46}
miles1500.col; 73; 0.002; {77,79},{54,110},{29,108},{3,27},{36,81,109},{15,60,117},{9,56,105},{22,63,80,106},{42,112,114},{21,74,95},{39,49},{50,90},{59,128},{43,48},{85,102,118},{17,125},{1,11,86},{78,124},{8,104},{5,62},{26,76},{40,88},{18,91},{4,68},{73},{100},{92},{19},{28,37},{101},{87,99},{47,52},{35,64},{67,121},{34,57,61},{51,70},{66},{55,82},{122},{98,116},{107},{123},{7,120},{32,126},{115},{23,97},{31,94},{25,103},{33,89},{16,75},{6,65},{12,71},{13},{96},{127},{84},{2},{45,72},{14,44},{69,119},{111},{10},{113},{93},{24},{83},{30},{46},{41},{20},{38},{53},{58}
le450_5a.col; 11; 0.01; {1,16,21,31,41,56,80,81,91,92,95,111,126,131,146,156,161,200,210,211,214,216,221,246,251,261,264,271,276,286,291,306,320,325,339,341,356,366,377,385,391,396,401,416,421,424,430,431,435,441,446},{14,18,22,26,32,37,40,45,54,64,66,78,85,97,102,118,128,135,144,153,157,160,166,169,190,196,206,212,239,243,282,295,329,343,351,361,370,378,380,382,384,388,389,393,404,418,427},{3,12,20,28,30,33,36,44,61,65,79,88,90,105,167,175,183,188,191,201,202,223,227,232,270,277,278,279,298,316,338,345,347,358,363,365,403,413,414,422,423,432,437,445},{4,6,39,43,50,55,60,76,82,103,106,110,115,132,140,141,147,151,172,186,192,195,198,208,222,225,229,241,256,257,258,269,285,296,297,300,305,312,322,328,330,331,372,376,379,390,398,438},{59,71,72,74,77,83,86,89,93,101,114,120,127,159,164,180,184,193,199,215,234,240,245,249,263,274,310,324,336,344,352,354,360,394,407,408,411,412,419,426,429,442,443,449},{5,10,19,23,47,52,87,98,100,113,137,142,162,168,176,194,197,226,259,262,266,267,272,287,292,293,301,303,315,326,327,342,348,349,355,357,368,371,373,381,402,406,447},{27,38,42,49,62,63,68,73,94,96,109,124,129,134,136,143,155,170,174,181,203,205,209,224,252,280,281,283,289,302,304,308,311,314,317,319,323,367,387,392,400,409,425,433,450},{2,8,11,29,34,67,84,104,108,117,122,139,145,149,154,165,207,219,228,233,235,236,244,250,254,255,260,268,288,290,294,299,309,318,321,333,340,353,374,428,434,436,440,444},{13,15,35,51,70,75,130,138,152,173,177,179,182,185,187,218,230,231,242,265,275,284,307,313,332,334,350,362,364,369,375,383,386,399,405,417},{7,9,17,24,25,46,48,53,57,69,99,107,112,119,123,125,133,148,150,158,163,171,178,189,204,213,217,237,238,247,248,253,273,335,395,420,439,448},{58,116,121,220,337,346,359,397,410,415}
le450_15b.col; 18; 0.009; {9,14,24,29,32,51,59,75,79,92,107,114,129,134,150,152,159,184,189,200,209,210,213,236,261,287,292,302,327,347,353,356,365,368,391,401,407,417,434,439,444,447},{2,11,30,33,48,60,80,100,101,102,115,116,141,157,160,174,186,216,230,255,262,282,297,301,306,310,322,348,357,360,362,382,385,421,440},{27,35,50,54,91,108,117,153,179,183,188,227,231,239,246,294,331,335,359,361,371,384,390,399,409,414,423,429},{23,49,74,77,98,103,140,175,177,205,215,224,238,265,270,290,309,313,316,317,325,398,405,415,441},{3,40,42,55,57,110,119,124,138,163,167,169,194,222,226,243,264,273,288,323,333,338,350,369,378,392,397,403},{4,56,58,84,171,199,202,203,208,214,221,228,229,242,266,267,296,334,336,352,354,374,386,422,437},{5,8,19,21,22,64,88,95,136,137,145,151,166,219,232,248,291,328,346,358,406,413,419,424,426,430,431},{1,6,10,44,65,66,71,85,96,176,192,201,217,223,235,258,279,280,281,319,341,349,381,387,400,435,436,448},{15,31,36,46,62,93,104,121,122,133,143,149,164,196,254,269,289,305,307,314,320,355,394,402,425,433,438},{7,28,45,99,123,126,127,132,165,185,190,206,260,268,276,285,293,366,379,393,396,408,443},{39,53,112,118,125,191,212,220,225,241,244,250,252,318,339,344,345,363,373,376,380,427,449},{12,41,47,86,87,89,94,97,105,106,178,218,247,256,263,278,286,299,300,308,315,329,343,351,375,388,404,420},{16,38,72,76,83,90,111,130,168,170,181,204,211,240,251,253,271,272,275,284,295,321,332,340,377,428},{37,43,69,70,73,78,113,128,131,139,156,158,207,233,245,249,259,274,283,303,304,312,367,389,395,411,412,442},{17,20,25,26,61,67,68,82,154,161,162,173,195,234,237,257,324,326,330,337,342,383,410,416,418,445},{13,18,34,63,109,120,142,144,146,147,172,180,187,193,197,277,298,364,370,432},{52,81,135,148,155,182,198,372,446,450},{311}
queen11_11.col; 17; 0.002; {8,27,42,45,61,70,84,110,113},{12,28,41,49,62,80,103,119},{18,24,44,50,63,71,97,102},{11,13,43,48,69,86,95,100,118},{1,21,29,35,52,60,75,94},{2,16,30,39,47,65,73,81,108},{5,36,55,64,67,87,92,101},{7,15,32,53,58,74,88,90,116},{4,17,25,66,68,82,98,107,111},{10,26,51,57,83,89,104,121},{3,20,33,38,56,79,96,109,117},{22,31,46,59,76,78,105},{6,19,34,77,91,112},{9,14,23,40,54,72,99,115},{85,93,106,120},{114},{37}
